codigo,producto_id,nombre,udm,stock_sistema,qty_fisica,diferencia,tipo,costo_unitario,impacto_valor,num_quants,num_lotes,reservado,alertas,estado
500000-24,321,CAJA EXPORTACIÓN 47x24.5x24.2-2024,Un,-41754.5,1500.0,43254.5,ENTRADA,599.0,25909445.5,20,18,0.0,"⚠️ 20 quants, ⚠️ 18 lotes",ANALIZADO
500340,15713,BOLSA BD TRANSPARENTE GENÉRICA 25X30 60 ,Un,-30559.0,5000.0,35559.0,ENTRADA,22.0,782298.0,3,2,0.0,"⚠️ 3 quants, ⚠️ 2 lotes",ANALIZADO
500058,13617,COFIAS (UN),Un,-17941.0,8000.0,25941.0,ENTRADA,64.049,1661495.1090000002,2,0,0.0,⚠️ 2 quants,ANALIZADO
